课程名称,课程类别,课程形式,课程编号,课程时长,URL,事故类型
透水事故应急预案,应急明白类课程,,GFE.B.2,26:12,https://www.bilibili.com/video/BV1Cs4y1e7es/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,透水事故
泉安应急——2022年夹金山隧道工程山洪抢险暨隧道坍塌事故应急演练,应急明白类课程,,GFE.B.3,08:17,https://www.bilibili.com/video/BV1yY411U7W6/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,隧道坍塌事故
暗挖隧道冒顶片帮“教学式”应急演练,应急明白类课程,,GFE.B.4,06:11,https://www.bilibili.com/video/BV1ye411d7sN/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,冒顶片帮事故
高处坠落“教学式”应急演练,应急明白类课程,,GFE.B.5,03:25,https://www.bilibili.com/video/BV1nj411L7yh/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,高处坠落事故
高空坠落急救完整流程来了！,应急明白类课程,,GFE.B.6,05:55,https://www.bilibili.com/video/BV1dG4y1x7JR/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,高处坠落事故
机械伤害“教学式”应急救援演练,应急明白类课程,,GFE.B.7,06:24,https://www.bilibili.com/video/BV19a4y1o7yu/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,机械伤害事故
有限空间中毒窒息“教学式”应急救援演练,应急明白类课程,,GFE.B.8,06:33,https://www.bilibili.com/video/BV1Ue411d7Vz?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,中毒窒息事故
灼烫伤害应急处置,应急明白类课程,,GFE.B.9,01:27,https://www.bilibili.com/video/BV1Ra411S7FD/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,灼烫事故
边坡坍塌事故应急演练,应急明白类课程,,GFE.B.10,02:10,https://www.bilibili.com/video/BV1NK411Z75r/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,边坡坍塌事故
触电事故“教学式”应急演练,应急明白类课程,,GFE.B.11,05:43,https://www.bilibili.com/video/BV1xu4y1g7U3?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,触电事故
14-应急救援篇-急切 8分钟（吊车倾倒）,应急明白类课程,,GFE.B.12,09:18,https://www.bilibili.com/video/BV1HAHUeQEvQ/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,设备倾覆事故
意外伤害之交通事故现场急救,应急明白类课程,,GFE.B.13,08:02,https://www.bilibili.com/video/BV1TP4y1A7KD/?spm_id_from=333.337.search-card.all.click&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,交通事故
脚手架坍塌“教学式”应急演练,应急明白类课程,,GFE.B.14,05:35,https://www.bilibili.com/video/BV1a64y15735?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,支架坍塌事故
暗挖隧道火灾“教学式”应急演练,应急明白类课程,,GFE.B.15,06:04,https://www.bilibili.com/video/BV15w411b76Q?spm_id_from=333.788.videopod.sections&vd_source=8042ec89c63c1e56847a32ea9b47b7a8,火灾事故
