课程名称,课程类别,课程形式,课程编号,课程时长,URL,危险源,,
支架现浇梁施工风险提示卡,风险提示类课程,3D动画,GFC.4.16,01:46,https://www.zhkjdream.com/app/course/detail/157868263_157824016,支架现浇梁作业,,
桥面及附属工程施工风险提示卡,风险提示类课程,3D动画,GFC.4.18,03:19,https://www.zhkjdream.com/app/course/detail/157868170_157824109,桥面及附属工程作业,,
混凝土索塔施工风险提示卡,风险提示类课程,3D动画,GFC.4.19,03:25,https://www.zhkjdream.com/app/course/detail/157873744_157818535,混凝土索塔作业,,
斜拉桥主梁施工风险提示卡,风险提示类课程,3D动画,GFC.4.20,03:15,,主梁作业,,
斜拉桥斜拉索施工风险提示卡,风险提示类课程,3D动画,GFC.4.21,04:14,,斜拉索作业,,
悬索桥锚碇施工风险提示卡,风险提示类课程,3D动画,GFC.4.22,01:35,,锚碇作业,,
悬索桥索鞍施工风险提示卡,风险提示类课程,3D动画,GFC.4.23,02:15,,索鞍作业,,
悬索桥猫道风险提示卡,风险提示类课程,3D动画,GFC.4.24,03:00,,猫道作业,,
悬索桥主缆施工风险提示卡,风险提示类课程,3D动画,GFC.4.25,02:20,,主缆作业,,
悬索桥加劲梁施工风险提示卡,风险提示类课程,3D动画,GFC.4.27,02:09,,加劲梁作业,,
桥梁拼宽风险提示卡,风险提示类课程,3D动画,GFC.4.34,02:50,,桥梁拼宽作业,,
旧桥拆除风险提示卡,风险提示类课程,3D动画,GFC.4.35,02:58,,旧桥拆除作业,,
洞口风险提示卡,风险提示类课程,3D动画,GFC.5.1,02:54,https://www.zhkjdream.com/app/course/detail/157868137_157824142,洞门墙作业,,
洞口风险提示卡2,风险提示类课程,3D动画,GFC.5.1,02:54,https://www.zhkjdream.com/app/course/detail/157868137_157824142,边仰坡开挖与截水天沟施作作业,,
明洞工程施工风险提示卡,风险提示类课程,3D动画,GFC.5.2,01:21,https://www.zhkjdream.com/app/course/detail/157868136_157824143,明洞作业,,
管棚施工隧道风险提示卡,风险提示类课程,3D动画,GFC.5.3,02:17,https://www.zhkjdream.com/app/course/detail/157868136_157824143,管棚作业,,
